,manufactured,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,desc_mean_price,type_of_vehicle_bus/mini bus,type_of_vehicle_hatchback,type_of_vehicle_luxury sedan,type_of_vehicle_mid-sized sedan,type_of_vehicle_mpv,type_of_vehicle_others,type_of_vehicle_sports car,type_of_vehicle_stationwagon,type_of_vehicle_suv,type_of_vehicle_truck,type_of_vehicle_van,transmission_auto,transmission_manual,make_audi,make_bmw,make_honda,make_hyundai,make_kia,make_lexus,make_mazda,make_mercedes-benz,make_mini,make_mitsubishi,make_nissan,make_porsche,make_subaru,make_suzuki,make_toyota,make_volkswagen,make_volvo,make_others,reg_date_year,reg_date_mon,reg_date_day,lifespan_days,luxury_car,price
11,2019.0,1345.0,93.8,1591.0,1.0,8390.0,33009.0,738.0,41097.0,27000.0,18272.0,18272.0,97582.86930788509,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,12.0,11.0,7331.982261640798,False,86700.0
12,2020.0,1650.0,430.0,3982.0,1.0,67410.0,49489.0,3922.0,351493.0,238.0,241799.0,407239.0,536679.3439920556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,1.0,21.0,7331.982261640798,False,921800.0
13,2015.0,1980.0,133.4932556713679,2953.0,1.0,8610.0,46801.0,1329.176775668073,19579.0,190363.0,24362.0,1219.0,74089.38561495498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,10.0,31.0,7304.0,False,39600.0
14,2008.0,1770.0,125.0,2362.0,5.0,7640.0,37906.0,2293.0,25703.0,228000.0,28865.0,28865.0,107081.26130945762,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2008.0,6.0,12.0,7331.982261640798,False,57000.0
15,2016.0,1321.0,88.0,1496.0,1.0,9120.0,50951.0,682.0,38496.0,68791.0,20569.0,15797.0,85264.92851153083,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,11.0,30.0,7331.982261640798,False,61100.0
16,2016.0,2075.0,134.0,2494.0,2.0,19120.0,51010.0,1792.0,63194.0,79000.0,45427.0,55598.0,118858.75998168669,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2016.0,6.0,17.0,7331.982261640798,False,130700.0
18,2012.0,1320.0,133.4932556713679,1461.0,2.0,11480.0,57051.0,1329.176775668073,8847.0,73460.34847437544,20293.0,1015.0,82071.72225722176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,3.0,15.0,7304.0,False,19600.0
20,2010.0,1735.0,175.0,2967.0,4.0,9160.0,37502.0,2818.0,30711.0,73460.34847437544,54019.0,54019.0,110882.5039124913,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,5.0,25.0,7331.982261640798,False,82500.0
22,2015.0,1800.0,133.4932556713679,2982.0,1.0,10620.0,8132.0,1329.176775668073,3353.0,73460.34847437544,31494.0,1575.0,62159.48570209134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2015.0,10.0,9.0,7304.0,False,48200.0
23,2020.0,1158.0,96.0,1199.0,1.0,8600.0,37334.0,508.0,41780.0,11000.0,20121.0,10170.0,205995.88612368025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020.0,10.0,30.0,7331.982261640798,False,92200.0
24,2017.0,1130.0,97.0,1496.0,1.0,10100.0,39903.0,682.0,33126.0,59900.0,18656.0,8656.0,82957.68455988273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,4.0,30.0,7331.982261640798,False,79000.0
26,2020.0,1350.0,100.0,1499.0,1.0,14330.0,30890.0,684.0,57659.0,11000.0,33658.0,39122.0,181014.84040258807,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,11.0,12.0,7331.982261640798,False,166000.0
27,2010.0,1555.0,103.0,1995.0,4.0,7280.0,33568.0,1450.0,29411.0,150000.0,19387.0,19387.0,75888.86245141424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010.0,6.0,17.0,7331.982261640798,False,70200.0
28,2020.0,2215.0,495.0,2071.0888269885486,1.0,48960.0,47001.0,1329.176775668073,170335.0,82.0,133421.0,167158.0,483358.6825201825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,3.0,19.0,7331.982261640798,True,607200.0
29,2006.0,1219.0,103.0,1799.0,5.0,8300.0,46048.0,1467.0,21586.0,73460.34847437544,21276.0,23404.0,82233.77048008572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,5.0,3.0,7331.982261640798,False,42800.0
30,2008.0,1160.0,81.0,1496.0,3.0,8380.0,12864.0,887.0,6386.0,141000.0,13937.0,13937.0,75461.7966712856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2.0,18.0,7331.982261640798,False,22900.0
31,2020.0,1750.0,185.0,1998.0,1.0,23760.0,45510.0,1210.0,101305.0,7838.0,59276.0,78697.0,247765.71880431008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,1.0,18.0,7331.982261640798,False,289100.0
33,2016.0,1321.0,88.0,1496.0,1.0,10010.0,53694.0,682.0,33798.0,47500.0,16296.0,11296.0,88412.48334133966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,6.0,21.0,7331.982261640798,False,59300.0
36,2009.0,1162.0,79.0,1584.0,5.0,8130.0,13024.0,954.0,6344.0,73460.34847437544,11669.0,11669.0,70970.11928186483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,5.0,20.0,7331.982261640798,False,21800.0
38,2020.0,1430.0,101.0,1496.0,1.0,12080.0,60001.0,1329.176775668073,71057.0,73460.34847437544,28477.0,16868.0,103505.41395526887,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,5.0,19.0,7331.982261640798,False,138600.0
39,2015.0,1800.0,147.0,2494.0,2.0,17870.0,65501.0,1792.0,64156.0,97015.0,51157.0,59083.0,111913.1780151313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,7.0,31.0,7331.982261640798,False,109800.0
40,2008.0,1190.0,92.0,1595.0,3.0,7160.0,19637.0,1036.0,6198.0,73460.34847437544,18850.0,20735.0,50839.11559998301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,3.0,25.0,7331.982261640798,False,12400.0
41,2016.0,1300.0,112.0,1496.0,2.0,10280.0,57010.0,682.0,40330.0,73460.34847437544,25911.0,18276.0,99193.6515806368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,6.0,24.0,7331.982261640798,False,64700.0
42,2011.0,1620.0,180.0,1997.0,3.0,10550.0,41835.646324549234,1210.0,43799.20620587753,73460.34847437544,52394.0,52394.0,124777.35294117648,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,12.0,30.0,7331.982261640798,False,116100.0
43,2012.0,1690.0,515.0,6498.0,6.0,62960.0,53932.0,7856.0,52942.0,67000.0,373084.0,373084.0,686391.6853544937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2012.0,6.0,12.0,7331.982261640798,True,679800.0
44,2008.0,1565.0,309.0,4163.0,6.0,25750.0,50451.0,5888.0,31114.0,99742.0,139214.0,139214.0,158518.41400468576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,4.0,30.0,7331.982261640798,False,174700.0
45,2005.0,1530.0,120.0,1796.0,3.0,8110.0,59798.0,1461.0,25656.0,143000.0,57408.0,63149.0,88926.84007723248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,12.0,22.0,7331.982261640798,False,38300.0
48,2015.0,1417.0,90.0,1390.0,3.0,9940.0,57089.0,620.0,38748.0,127000.0,21568.0,22196.0,86554.23974621408,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2015.0,9.0,18.0,7331.982261640798,False,56700.0
52,2007.0,1390.0,162.0,1998.0,6.0,13140.0,52491.0,1815.0,30272.0,73460.34847437544,25564.0,28121.0,83236.17002819346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,6.0,7.0,7331.982261640798,False,83400.0
53,2010.0,1430.0,150.0,2497.0,4.0,13720.0,35416.0,1976.0,30467.0,58000.0,41849.0,41849.0,208128.37913510905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,11.0,29.0,7331.982261640798,False,129800.0
55,2012.0,1310.0,100.0,1598.0,2.0,27010.0,56501.0,742.0,17432.0,67000.0,27217.0,27217.0,92201.31773615617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,4.0,30.0,7331.982261640798,False,35100.0
56,2016.0,1360.0,105.0,1798.0,1.0,11130.0,56410.0,976.0,44269.0,58000.0,19955.0,19955.0,90350.85986041473,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2016.0,11.0,4.0,7331.982261640798,False,74600.0
58,2015.0,1205.0,90.0,1598.0,2.0,8810.0,45000.0,742.0,34203.0,121496.0,19589.0,19589.0,64391.58663068985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2016.0,3.0,15.0,7331.982261640798,False,54900.0
59,2020.0,1875.0,287.0,2996.0,1.0,28940.0,49300.0,2382.0,128014.0,9000.0,76153.0,109076.0,271514.36468814424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,1.0,7.0,7331.982261640798,False,358400.0
60,2017.0,1139.0,66.0,1197.0,1.0,8530.0,42902.0,508.0,31848.0,77368.0,17610.0,7610.0,75798.03054662379,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2017.0,9.0,28.0,7331.982261640798,False,61400.0
64,2010.0,1655.0,155.0,1984.0,3.0,9890.0,33568.0,1433.0,29466.0,122000.0,47399.0,47399.0,134184.68385284336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,6.0,17.0,7331.982261640798,False,95500.0
65,2010.0,1422.0,93.0,1597.0,2.0,7330.0,16438.0,890.0,12016.0,106000.0,14128.0,14128.0,44020.738189346885,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,4.0,21.0,7331.982261640798,False,29500.0
66,2019.0,1700.0,133.4932556713679,2982.0,1.0,9190.0,24651.0,1329.176775668073,18998.0,73460.34847437544,28136.0,1407.0,73751.4071293674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019.0,5.0,9.0,7304.0,False,77900.0
67,2018.0,1185.0,96.0,1496.0,1.0,9350.0,34110.0,682.0,37769.0,41232.0,19096.0,19096.0,107583.18598627273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,7.0,9.0,7331.982261640798,False,81200.0
68,2011.0,1500.0,115.0,1597.0,2.0,7990.0,46896.0,816.0,46331.0,99000.0,31019.0,31019.0,145221.0684351801,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,7.0,18.0,7331.982261640798,False,86800.0
69,2016.0,1190.0,96.0,1496.0,1.0,9610.0,52668.0,682.0,42973.0,45000.0,23772.0,20281.0,132271.97301941918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,12.0,2.0,7331.982261640798,False,66900.0
71,2021.0,1680.0,133.4932556713679,2982.0,2.0,9440.0,39589.0,1329.176775668073,37723.0,73460.34847437544,29353.0,1468.0,94104.92628033743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0,3.0,24.0,7304.0,False,98900.0
72,2015.0,1125.0,86.0,1586.0,1.0,10450.0,55399.0,736.0,35425.0,48200.0,17108.0,17108.0,123877.86102897693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2015.0,11.0,18.0,7331.982261640798,False,58100.0
73,2009.0,1313.0,80.0,1499.0,1.0,7950.0,25525.0,821.0,19273.0,73460.34847437544,18083.0,18083.0,70001.122126194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,5.0,26.0,7331.982261640798,False,66000.0
74,2009.0,1422.0,93.0,1597.0,1.0,7030.0,21142.0,816.0,19798.0,150738.0,14169.0,14169.0,71141.28364389236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011.0,5.0,23.0,7331.982261640798,False,36200.0
77,2016.0,1800.0,133.4932556713679,2488.0,2.0,8950.0,41444.0,1329.176775668073,21676.0,99000.0,24687.0,1235.0,111454.90164833907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,11.0,17.0,7304.0,False,51500.0
78,2017.0,1780.0,133.4932556713679,2982.0,2.0,8960.0,35586.0,1329.176775668073,22151.0,73460.34847437544,31917.0,1596.0,72779.496733323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017.0,11.0,15.0,8812.0,False,61400.0
79,2010.0,1095.0,80.0,1497.0,3.0,6880.0,17600.0,752.0,14736.0,105000.0,12116.0,12116.0,83783.07672377322,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010.0,11.0,12.0,7331.982261640798,False,31700.0
80,2006.0,1530.0,108.0,1998.0,1.0,7440.0,48479.0,1815.0,23336.0,73460.34847437544,28129.0,30942.0,77717.19545855746,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2007.0,1.0,10.0,7331.982261640798,False,39400.0
